log_id;customer_id;access_date;access_time;pages_visited;device;session_duration;source_ip
1;406;2022-12-14;15:11;products;tablet;2601;49.249.185.98
2;52;2023-05-30;7:50;products;desktop;518;97.145.73.147
3;366;2023-06-18;20:21;home page;tablet;3367;246.108.79.188
4;387;2023-10-06;12:21;policies;desktop;1057;178.72.69.237
5;478;2023-05-25;22:08;home page;mobile;2983;100.145.156.36
6;13;2022-12-01;20:45;policies;mobile;1021;140.53.93.98
7;291;2023-01-24;8:59;home page;mobile;3183;143.225.31.172
8;286;2022-12-29;13:50;policies;tablet;3304;196.82.254.23
9;430;2023-04-26;22:16;terms of use;mobile;2309;239.78.200.226
10;421;2023-05-12;2:58;policies;tablet;2538;163.98.136.110
11;400;2023-09-13;11:06;policies;mobile;162;155.131.197.86
12;418;2023-06-02;3:28;terms of use;tablet;876;205.34.214.45
13;334;2023-10-30;13:08;terms of use;tablet;3376;109.214.127.70
14;17;2023-04-27;0:16;policies;desktop;1398;44.255.236.166
15;236;2023-04-21;4:06;products;mobile;2137;208.11.181.87
16;447;2023-01-27;13:13;policies;desktop;127;190.127.163.213
17;406;2023-05-22;20:22;policies;desktop;1326;232.242.217.69
18;196;2023-10-04;9:22;products;tablet;2961;149.154.47.77
19;26;2023-06-23;8:48;terms of use;desktop;2272;212.186.31.90
20;384;2023-06-10;6:32;home page;desktop;1405;142.62.47.55
21;325;2023-10-23;17:27;policies;mobile;2395;140.73.141.95
22;323;2023-05-08;5:51;policies;mobile;1806;239.232.203.101
23;290;2023-05-17;17:05;home page;mobile;1373;41.53.198.230
24;163;2023-01-29;0:45;policies;desktop;2879;79.64.199.105
25;22;2022-12-29;1:57;home page;tablet;2803;102.101.116.164
26;467;2023-04-08;8:33;terms of use;tablet;1038;159.193.59.8
27;199;2023-02-23;20:15;terms of use;tablet;1924;131.174.244.35
28;358;2022-11-14;17:22;policies;desktop;526;74.202.243.208
29;459;2023-06-07;1:12;home page;tablet;1778;54.180.66.158
30;125;2023-05-22;14:11;home page;mobile;718;148.97.162.179
31;17;2023-09-04;12:54;terms of use;desktop;2984;198.27.112.92
32;10;2022-12-20;22:44;home page;tablet;2261;89.29.44.132
33;98;2023-04-11;22:19;products;mobile;3283;171.204.31.176
34;296;2023-05-11;9:44;home page;desktop;171;85.220.172.75
35;122;2023-02-28;17:12;products;desktop;1074;125.211.46.122
36;388;2023-06-21;0:37;policies;desktop;1698;1.80.58.131
37;415;2023-04-09;2:23;products;tablet;2363;31.220.142.91
38;259;2023-02-17;16:46;policies;mobile;244;36.214.49.43
39;212;2023-09-07;0:59;policies;tablet;863;11.245.130.68
40;177;2023-06-29;2:33;home page;tablet;760;119.180.245.172
41;70;2023-04-02;0:44;home page;tablet;2727;89.87.27.199
42;470;2023-10-16;11:25;home page;tablet;3199;177.250.205.102
43;439;2023-04-21;10:24;products;tablet;1890;63.143.141.63
44;243;2023-10-22;15:32;policies;desktop;2418;219.102.27.105
45;150;2023-04-02;8:45;products;desktop;1311;148.224.228.88
