purchase_id;customer_id;purchase_date;purchase_time;purchase_value;purchased_products;payment_method;purchase_status
1;358;2023-06-08;16:03;754.26;product2;credit_card;completed
2;153;2023-04-26;11:27;2919.1;product1;cash;pending
3;257;2023-07-16;1:20;5483.67;product2;cash;cancelled
4;392;2023-05-14;7:30;9524.27;product2;credit_card;cancelled
5;22;2023-07-05;16:57;2452.25;product1;cash;pending
6;208;2023-02-02;0:55;7103.49;product2;paypal;pending
7;256;2023-02-10;9:31;7898.24;product2;cash;cancelled
8;430;2023-08-19;19:05;2067.94;product1;paypal;cancelled
9;487;2023-09-21;15:58;3387.82;product1;paypal;completed
10;7;2023-09-23;4:47;2494.6;product3;cash;pending
11;200;2023-01-02;1:27;3385.58;product1;paypal;cancelled
12;71;2023-01-12;19:15;341.47;product2;cash;cancelled
13;61;2023-08-28;5:48;7676.78;product2;paypal;completed
14;266;2023-02-08;4:20;5336.03;product1;cash;completed
15;122;2023-03-19;19:05;3601.56;product1;credit_card;completed
16;261;2023-12-20;6:12;8598.07;product2;paypal;completed
17;168;2023-01-21;8:10;6981.97;product1;paypal;completed
18;13;2023-04-10;19:49;3380.16;product2;cash;cancelled
19;131;2023-06-30;6:26;2099.83;product2;paypal;completed
20;389;2023-07-22;21:49;9628.82;product2;paypal;cancelled
21;371;2023-06-15;1:12;7081.69;product2;credit_card;pending
22;438;2023-02-23;5:06;9375.48;product3;credit_card;cancelled
23;350;2023-12-07;5:01;3156.08;product1;paypal;completed
24;326;2023-12-27;15:07;7426.09;product2;paypal;completed
25;217;2023-09-02;17:58;8678.83;product1;paypal;pending
26;41;2023-07-05;6:19;2307.17;product1;paypal;completed
27;395;2023-08-18;21:49;8268.07;product2;credit_card;completed
28;331;2023-12-19;22:12;3315.7;product3;paypal;completed
29;400;2023-07-20;18:12;7457.01;product1;credit_card;completed
30;282;2023-11-21;12:20;2368.92;product2;paypal;pending
31;391;2023-11-02;15:11;6049.71;product3;cash;completed
32;20;2023-08-18;20:20;42.7;product2;credit_card;pending
33;147;2023-11-05;20:03;3851.14;product2;cash;completed
34;85;2023-11-16;0:31;3860.53;product1;paypal;pending
35;354;2023-02-04;2:46;7173.64;product1;credit_card;completed
36;22;2023-05-25;16:56;8224.33;product3;credit_card;pending
37;304;2023-03-15;14:02;517.38;product2;cash;pending
38;99;2023-09-28;23:20;1617.96;product1;paypal;pending
39;167;2023-04-17;17:56;8319.99;product1;paypal;pending
40;364;2023-11-26;17:51;109.77;product2;paypal;pending
41;255;2023-10-04;7:16;8315.96;product1;credit_card;completed
42;33;2023-04-11;18:16;6450.43;product2;credit_card;completed
43;77;2023-12-13;14:10;2317.5;product2;cash;pending
44;323;2023-05-21;2:22;3908.86;product1;paypal;completed
45;310;2023-10-24;19:37;821.48;product2;cash;completed
46;314;2023-08-01;17:35;4341.61;product2;credit_card;cancelled
47;89;2023-03-09;16:04;288.25;product1;cash;pending
48;382;2023-03-15;18:17;797.3;product3;credit_card;completed
49;36;2023-08-10;7:50;4784.3;product2;credit_card;pending
50;68;2023-07-23;1:55;458.59;product2;paypal;cancelled
51;379;2023-04-25;12:26;2765.29;product3;cash;pending
52;90;2023-07-07;19:42;554.06;product1;credit_card;pending
53;484;2023-10-04;4:44;2670.1;product1;credit_card;cancelled
54;251;2023-06-13;0:35;27.07;product1;cash;cancelled
55;191;2023-01-16;5:53;198.71;product2;paypal;cancelled
56;289;2023-08-14;0:51;3516.21;product3;paypal;pending
57;50;2023-07-30;12:21;8748.85;product1;credit_card;pending
58;247;2023-10-13;23:26;7363.97;product2;paypal;completed
59;238;2023-03-24;10:30;6434.85;product1;credit_card;completed
60;175;2023-08-24;1:15;7590.45;product3;cash;pending
61;241;2023-04-16;10:01;6480.29;product3;paypal;completed
62;181;2023-04-06;2:51;1353.59;product3;cash;completed
63;183;2023-12-02;1:12;8391.15;product3;credit_card;cancelled
64;214;2023-12-09;22:37;9923.14;product3;credit_card;completed
65;323;2023-09-23;2:51;8079.81;product1;paypal;pending
66;151;2023-07-16;18:30;2730.82;product2;credit_card;cancelled
67;458;2023-06-15;22:06;9893.95;product3;cash;cancelled
68;80;2023-12-10;23:25;1633.71;product3;credit_card;completed
69;345;2023-10-20;8:28;5502.94;product3;cash;cancelled
70;35;2023-04-03;17:20;6296.13;product2;cash;pending
71;35;2023-05-30;21:28;2932.76;product3;paypal;completed
72;192;2023-05-08;14:01;5921.85;product3;cash;pending
73;442;2023-07-22;2:49;2378.46;product2;paypal;cancelled
74;472;2023-10-06;16:54;8352.06;product1;credit_card;pending
